listing_id,avg_sentiment_score,review_scores_rating,rating_normalized,divergence
27934,0.863417387008667,4.86,0.9300000000000002,-0.06658261299133317
105042,0.7600266933441162,4.77,0.8849999999999998,-0.12497330665588358
156583,0.8793178200721741,4.24,0.6200000000000001,0.25931782007217397
320014,0.5643304586410522,4.62,0.81,-0.2456695413589478
390611,0.04932910203933716,4.58,0.79,-0.7406708979606629
393066,0.843358039855957,4.54,0.77,0.07335803985595701
430691,0.2582975924015045,4.69,0.8450000000000002,-0.5867024075984957
449782,0.8658164739608765,4.57,0.7850000000000001,0.08081647396087632
605314,0.6079120437304179,4.47,0.7349999999999999,-0.12708795626958203
605343,0.84148108959198,4.59,0.7949999999999999,0.04648108959198005
722291,0.904263436794281,4.82,0.9100000000000001,-0.005736563205719136
818612,0.8469349145889282,5.0,1.0,-0.15306508541107178
822214,0.8933114409446716,4.83,0.915,-0.021688559055328405
858311,0.46521564324696857,4.84,0.9199999999999999,-0.45478435675303136
858338,0.6095205470919609,4.57,0.7850000000000001,-0.17547945290803924
861105,0.909982442855835,4.89,0.9449999999999998,-0.03501755714416488
866329,-0.2743299603462219,4.54,0.77,-1.044329960346222
988373,0.6680453419685364,4.9,0.9500000000000002,-0.2819546580314638
1026451,0.688964307308197,4.81,0.9049999999999998,-0.21603569269180278
1041976,0.6876590847969055,4.91,0.9550000000000001,-0.26734091520309455
1057173,0.8132576942443848,4.65,0.8250000000000002,-0.011742305755615412
1141969,0.7171617150306702,4.88,0.94,-0.22283828496932978
1160838,0.6223108172416687,4.85,0.9249999999999998,-0.3026891827583311
1227663,0.8151487708091736,4.87,0.935,-0.11985122919082647
1296322,0.872025728225708,4.47,0.7349999999999999,0.13702572822570813
1302302,0.7970560789108276,4.84,0.9199999999999999,-0.12294392108917229
1338489,0.9143428206443787,4.58,0.79,0.12434282064437863
1412787,0.5544126592576504,4.69,0.8450000000000002,-0.2905873407423498
1419797,0.4611910879611969,4.91,0.9550000000000001,-0.49380891203880317
1421233,0.5891482383012772,4.56,0.7799999999999998,-0.19085176169872264
1522068,0.0349368155002594,4.8,0.8999999999999999,-0.8650631844997405
1571204,0.676986038684845,4.79,0.895,-0.21801396131515505
1621954,0.7641648054122925,4.69,0.8450000000000002,-0.08083519458770771
1638413,0.7122463583946228,4.47,0.7349999999999999,-0.022753641605377073
1645397,0.9136869311332703,4.45,0.7250000000000001,0.18868693113327017
1657411,0.8588457405567169,4.18,0.5899999999999999,0.26884574055671706
1685582,0.8164238452911377,4.66,0.8300000000000001,-0.01357615470886242
1765918,0.8756594657897949,4.77,0.8849999999999998,-0.009340534210204865
1793000,0.7083011269569397,4.86,0.9300000000000002,-0.22169887304306046
1808600,0.6032817959785461,4.99,0.9950000000000001,-0.39171820402145396
1817644,0.5585389733314514,4.92,0.96,-0.40146102666854855
1862331,0.5707325339317322,4.66,0.8300000000000001,-0.2592674660682679
1887544,0.7064058482646942,4.88,0.94,-0.23359415173530573
1943048,0.7032298684120178,4.86,0.9300000000000002,-0.22677013158798232
1953657,0.8516196012496948,4.76,0.8799999999999999,-0.02838039875030507
1961981,0.6977813243865967,4.54,0.77,-0.07221867561340334
1982413,0.7160438001155853,4.79,0.895,-0.1789561998844147
2068795,0.6983753442764282,4.78,0.8900000000000001,-0.1916246557235719
2135883,0.8317101796468099,4.98,0.9900000000000002,-0.15828982035319028
2262721,0.8322438895702362,4.72,0.8599999999999999,-0.02775611042976367
2294502,0.8395757675170898,4.68,0.8399999999999999,-0.00042423248291001414
2300491,0.05498369783163071,4.61,0.8050000000000002,-0.7500163021683695
2321290,0.8776712417602539,4.88,0.94,-0.06232875823974604
2401250,0.8121790885925293,4.87,0.935,-0.12282091140747076
2401426,0.7478520472844442,4.58,0.79,-0.042147952715555825
2413865,-0.1688608924547831,4.7,0.8500000000000001,-1.0188608924547833
2434974,0.07168406248092651,4.89,0.9449999999999998,-0.8733159375190733
2437576,0.9223620295524597,4.82,0.9100000000000001,0.012362029552459575
2542746,0.5690016597509384,4.89,0.9449999999999998,-0.3759983402490614
2708302,0.9163020849227905,4.93,0.9649999999999999,-0.04869791507720933
2716261,0.6723599225282669,4.8,0.8999999999999999,-0.22764007747173298
2720747,0.8630329966545105,4.92,0.96,-0.09696700334548947
2726713,0.8441044688224792,4.87,0.935,-0.0908955311775208
2778874,-0.023683756589889526,4.69,0.8450000000000002,-0.8686837565898897
2870408,0.7047258615493774,4.76,0.8799999999999999,-0.17527413845062245
2983684,0.2644423469901085,4.58,0.79,-0.5255576530098915
2996027,0.8313368558883667,4.29,0.645,0.18633685588836668
3006637,0.8721364736557007,4.58,0.79,0.08213647365570065
3148114,0.49385759234428406,4.34,0.6699999999999999,-0.17614240765571587
3304263,0.8702217936515808,4.54,0.77,0.10022179365158079
3444406,-0.5491604804992676,4.79,0.895,-1.4441604804992676
3480807,0.13006077706813812,4.83,0.915,-0.7849392229318619
3495468,0.9305094480514526,4.31,0.6549999999999998,0.27550944805145283
3532103,0.37869206070899963,4.47,0.7349999999999999,-0.35630793929100024
3611451,0.8920106887817383,4.86,0.9300000000000002,-0.03798931121826188
3611516,0.612828845779101,4.83,0.915,-0.302171154220899
3611529,0.6598882436752319,4.82,0.9100000000000001,-0.25011175632476823
3747051,0.9075064659118652,4.65,0.8250000000000002,0.08250646591186506
3794264,0.8310076097647349,4.91,0.9550000000000001,-0.1239923902352652
3887919,0.8626707792282104,4.73,0.8650000000000002,-0.002329220771789764
3925181,0.43159328401088715,4.8,0.8999999999999999,-0.46840671598911277
3925370,0.8455164730548859,4.75,0.875,-0.029483526945114136
3927786,0.8255508542060852,4.57,0.7850000000000001,0.04055085420608506
3963238,0.8136362433433533,4.45,0.7250000000000001,0.08863624334335318
3963355,0.8777137398719788,4.97,0.9849999999999999,-0.10728626012802112
4051601,0.5528576225042343,4.59,0.7949999999999999,-0.24214237749576561
4080470,0.8316894769668579,4.57,0.7850000000000001,0.04668947696685777
4097834,0.6779469847679138,4.94,0.9700000000000002,-0.2920530152320864
4124073,0.8954651951789856,4.89,0.9449999999999998,-0.049534804821014244
4153487,0.8754017949104309,4.78,0.8900000000000001,-0.014598205089569216
4228023,0.45378515124320984,4.66,0.8300000000000001,-0.37621484875679023
4244264,0.9337809681892395,4.79,0.895,0.038780968189239484
4248474,0.18741077184677124,4.75,0.875,-0.6875892281532288
4272623,0.9063088297843933,4.65,0.8250000000000002,0.08130882978439313
4374932,0.8188692331314087,4.88,0.94,-0.12113076686859126
4379681,-0.058466047048568726,4.61,0.8050000000000002,-0.8634660470485689
4471377,0.3537907004356384,4.65,0.8250000000000002,-0.47120929956436175
4569633,0.7300923466682434,4.79,0.895,-0.1649076533317566
4571148,0.9151690006256104,4.74,0.8700000000000001,0.045169000625610245
4683534,0.7586013078689575,4.73,0.8650000000000002,-0.1063986921310427
4711365,0.5948543548583984,4.58,0.79,-0.1951456451416016
4754686,0.0004367530345916748,4.78,0.8900000000000001,-0.8895632469654084
4756103,0.6967081427574158,4.78,0.8900000000000001,-0.19329185724258435
4786588,0.5232875943183899,4.72,0.8599999999999999,-0.33671240568161
4863511,0.19445237517356873,4.68,0.8399999999999999,-0.6455476248264311
4863603,0.43486595153808594,4.73,0.8650000000000002,-0.4301340484619143
4863649,0.8740668892860413,4.84,0.9199999999999999,-0.04593311071395867
4863676,-0.8570271134376526,4.88,0.94,-1.7970271134376525
4863748,0.5249003618955612,4.68,0.8399999999999999,-0.31509963810443864
4863919,0.7813355127970377,4.75,0.875,-0.09366448720296228
4867283,0.7945070266723633,4.31,0.6549999999999998,0.13950702667236348
4913247,0.8920426368713379,4.92,0.96,-0.06795736312866207
4943144,0.6962244510650635,4.88,0.94,-0.24377554893493647
4964691,0.04363623261451721,4.97,0.9849999999999999,-0.9413637673854827
5007513,0.8850163221359253,4.82,0.9100000000000001,-0.02498367786407485
5014309,0.8987756371498108,4.78,0.8900000000000001,0.008775637149810667
5031445,-0.8066332936286926,4.84,0.9199999999999999,-1.7266332936286926
5074762,0.6600449681282043,4.92,0.96,-0.2999550318717956
5148753,0.8947667479515076,4.69,0.8450000000000002,0.04976674795150737
5185275,0.7070327401161194,4.67,0.835,-0.12796725988388058
5241878,0.6950982809066772,4.77,0.8849999999999998,-0.18990171909332254
5242781,0.8142312169075012,4.46,0.73,0.08423121690750124
5347665,-0.7136282324790955,4.67,0.835,-1.5486282324790954
5358272,0.8368580341339111,4.62,0.81,0.02685803413391108
5366718,0.26525946458180744,4.71,0.855,-0.5897405354181926
5480774,0.732107937335968,4.81,0.9049999999999998,-0.1728920626640318
5565022,0.832967221736908,4.82,0.9100000000000001,-0.07703277826309218
5673081,0.9047446250915527,4.62,0.81,0.09474462509155268
5775602,0.86310795545578,4.9,0.9500000000000002,-0.08689204454422017
5838604,0.41947412490844727,4.85,0.9249999999999998,-0.5055258750915526
5920464,0.5170795917510986,4.67,0.835,-0.31792040824890133
5952398,-0.09607204794883728,4.63,0.815,-0.9110720479488372
5969642,0.7129491567611694,4.95,0.9750000000000001,-0.26205084323883066
5970749,0.837814211845398,4.45,0.7250000000000001,0.11281421184539786
5971468,-0.5453057885169983,4.28,0.6400000000000001,-1.1853057885169984
6057511,0.8771084547042847,4.8,0.8999999999999999,-0.022891545295715243
6159231,0.8533762693405151,4.94,0.9700000000000002,-0.11662373065948506
6164354,0.826538473367691,4.73,0.8650000000000002,-0.03846152663230917
6239775,0.6862865686416626,4.85,0.9249999999999998,-0.23871343135833722
6250200,-0.4388623833656311,4.86,0.9300000000000002,-1.3688623833656313
6278178,-0.16939982771873474,4.73,0.8650000000000002,-1.034399827718735
6305340,0.3516201972961426,4.86,0.9300000000000002,-0.5783798027038576
6312629,0.8705821633338928,4.94,0.9700000000000002,-0.09941783666610737
6329764,0.7930083870887756,4.95,0.9750000000000001,-0.18199161291122445
6329896,0.7124698162078857,4.88,0.94,-0.2275301837921142
6398846,0.4342561364173889,4.85,0.9249999999999998,-0.4907438635826109
6416190,0.9071452617645264,4.52,0.7599999999999998,0.14714526176452658
6485868,0.26168449719746906,4.53,0.7650000000000001,-0.5033155028025311
6489423,0.8176624774932861,4.82,0.9100000000000001,-0.09233752250671401
6616352,0.9125122725963593,4.96,0.98,-0.06748772740364073
6653977,0.8770906329154968,4.75,0.875,0.002090632915496826
