listing_id,avg_sentiment_score,review_scores_rating
27934,0.863417387008667,4.86
105042,0.7600266933441162,4.77
156583,0.8793178200721741,4.24
320014,0.5643304586410522,4.62
390611,0.04932910203933716,4.58
393066,0.843358039855957,4.54
430691,0.2582975924015045,4.69
449782,0.8658164739608765,4.57
605314,0.6079120437304179,4.47
605343,0.84148108959198,4.59
722291,0.904263436794281,4.82
818612,0.8469349145889282,5.0
822214,0.8933114409446716,4.83
858311,0.46521564324696857,4.84
858338,0.6095205470919609,4.57
861105,0.909982442855835,4.89
866329,-0.2743299603462219,4.54
988373,0.6680453419685364,4.9
1026451,0.688964307308197,4.81
1041976,0.6876590847969055,4.91
1057173,0.8132576942443848,4.65
1141969,0.7171617150306702,4.88
1160838,0.6223108172416687,4.85
1227663,0.8151487708091736,4.87
1296322,0.872025728225708,4.47
1302302,0.7970560789108276,4.84
1338489,0.9143428206443787,4.58
1412787,0.5544126592576504,4.69
1419797,0.4611910879611969,4.91
1421233,0.5891482383012772,4.56
1522068,0.0349368155002594,4.8
1571204,0.676986038684845,4.79
1621954,0.7641648054122925,4.69
1638413,0.7122463583946228,4.47
1645397,0.9136869311332703,4.45
1657411,0.8588457405567169,4.18
1685582,0.8164238452911377,4.66
1765918,0.8756594657897949,4.77
1793000,0.7083011269569397,4.86
1808600,0.6032817959785461,4.99
1817644,0.5585389733314514,4.92
1862331,0.5707325339317322,4.66
1887544,0.7064058482646942,4.88
1943048,0.7032298684120178,4.86
1953657,0.8516196012496948,4.76
1961981,0.6977813243865967,4.54
1982413,0.7160438001155853,4.79
2068795,0.6983753442764282,4.78
2135883,0.8317101796468099,4.98
2262721,0.8322438895702362,4.72
2294502,0.8395757675170898,4.68
2300491,0.05498369783163071,4.61
2321290,0.8776712417602539,4.88
2401250,0.8121790885925293,4.87
2401426,0.7478520472844442,4.58
2413865,-0.1688608924547831,4.7
2434974,0.07168406248092651,4.89
2437576,0.9223620295524597,4.82
2542746,0.5690016597509384,4.89
2708302,0.9163020849227905,4.93
2716261,0.6723599225282669,4.8
2720747,0.8630329966545105,4.92
2726713,0.8441044688224792,4.87
2778874,-0.023683756589889526,4.69
2870408,0.7047258615493774,4.76
2983684,0.2644423469901085,4.58
2996027,0.8313368558883667,4.29
3006637,0.8721364736557007,4.58
3148114,0.49385759234428406,4.34
3304263,0.8702217936515808,4.54
3444406,-0.5491604804992676,4.79
3480807,0.13006077706813812,4.83
3495468,0.9305094480514526,4.31
3532103,0.37869206070899963,4.47
3611451,0.8920106887817383,4.86
3611516,0.612828845779101,4.83
3611529,0.6598882436752319,4.82
3747051,0.9075064659118652,4.65
3794264,0.8310076097647349,4.91
3887919,0.8626707792282104,4.73
3925181,0.43159328401088715,4.8
3925370,0.8455164730548859,4.75
3927786,0.8255508542060852,4.57
3963238,0.8136362433433533,4.45
3963355,0.8777137398719788,4.97
4051601,0.5528576225042343,4.59
4080470,0.8316894769668579,4.57
4097834,0.6779469847679138,4.94
4124073,0.8954651951789856,4.89
4153487,0.8754017949104309,4.78
4228023,0.45378515124320984,4.66
4244264,0.9337809681892395,4.79
4248474,0.18741077184677124,4.75
4272623,0.9063088297843933,4.65
4374932,0.8188692331314087,4.88
4379681,-0.058466047048568726,4.61
4471377,0.3537907004356384,4.65
4569633,0.7300923466682434,4.79
4571148,0.9151690006256104,4.74
4683534,0.7586013078689575,4.73
4711365,0.5948543548583984,4.58
4754686,0.0004367530345916748,4.78
4756103,0.6967081427574158,4.78
4786588,0.5232875943183899,4.72
4863511,0.19445237517356873,4.68
4863603,0.43486595153808594,4.73
4863649,0.8740668892860413,4.84
4863676,-0.8570271134376526,4.88
4863748,0.5249003618955612,4.68
4863919,0.7813355127970377,4.75
