occupancy_rate_pct,review_scores_rating,number_of_reviews,has_reviews,neighbourhood_median_price,accommodates,bedrooms,bathrooms,beds,host_is_superhost,availability_365,calculated_host_listings_count,amenities_count,room_Hotel room,room_Private room,room_Shared room,prop_Entire home,prop_Entire rental unit,prop_Entire townhouse,prop_Other,prop_Private room in condo,prop_Private room in home,prop_Private room in rental unit,prop_Private room in townhouse,prop_Room in boutique hotel,prop_Room in hotel,accommodates_x_bedrooms,actual_price,predicted_price,residual,abs_pct_error
2.47,5.0,7,1,1824.52,2,1.0,1.0,1.0,0,356,5,13,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1685.4000000000005,1511.1584,174.24155273437555,10.338290775743177
76.71,4.24,104,1,1688.29,7,2.0,1.0,3.0,0,85,23,30,0,0,0,0,1,0,0,0,0,0,0,0,0,14.0,2168.2399999999993,2256.4456,-88.20555664062567,4.068071645234185
84.11,5.0,14,1,2220.88,2,1.0,1.0,1.0,1,58,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1788.1000000000001,1829.1848,-41.084814453124864,2.297679909016546
0.0,5.0,4,1,2220.88,2,1.0,1.0,2.0,1,365,247,42,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,4844.999999999998,4844.901,0.09912109374818101,0.002045843008218391
0.27,4.86,0,0,910.7550000000001,4,2.0,2.0,2.0,0,364,1,48,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,16677.0,3129.238,13547.761962890625,81.23620533003913
26.03,5.0,2,1,1000.0,3,2.0,2.0,2.0,0,270,1,25,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,2275.6400000000003,1571.8137,703.8262792968753,30.928718044017295
0.55,4.86,0,0,2220.88,5,1.0,1.0,2.0,0,363,1,9,0,1,0,0,0,0,0,0,0,1,0,0,0,5.0,2647.139999999999,2043.2993,603.840683593749,22.811059618824437
43.01,4.95,19,1,1080.0,2,1.0,1.0,1.0,1,208,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,841.6200000000002,819.7777,21.842290039062732,2.595267465015414
12.33,4.8,101,1,2220.88,2,1.0,1.0,1.0,1,320,35,30,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,1849.9999999999993,1324.7638,525.2362060546868,28.391146273226326
0.0,4.33,3,1,1750.0,2,1.0,1.0,1.0,1,365,15,5,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,988.7199999999998,945.6691,43.05087158203105,4.354202563115043
0.0,5.0,5,1,2220.88,2,1.0,1.0,2.0,1,365,49,38,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,2085.0000000000005,2008.0999,76.90014648437545,3.6882564261091337
0.27,4.6,5,1,2181.995,3,1.0,1.5,1.0,0,364,2,18,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,2853.0000000000005,1674.6611,1178.3388671875005,41.3017478859972
83.56,4.86,0,0,1000.0,2,1.0,1.0,1.0,0,60,3,34,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,623.41,1068.3551,-444.94510253906253,71.37278878090864
0.0,4.86,0,0,1688.29,2,1.0,1.0,1.0,0,365,81,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1844.3,1471.5294,372.77058105468745,20.21203606000583
15.34,4.67,6,1,1615.25,2,1.0,1.0,1.0,1,309,7,21,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2071.9999999999995,1080.6447,991.355346679687,47.84533526446367
0.27,4.86,0,0,1688.29,2,1.0,1.0,1.0,0,364,144,14,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2050.5700000000006,1788.1813,262.3887255859381,12.79589214637579
0.0,4.86,0,0,1348.0,1,1.0,1.0,1.0,0,365,62,17,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,332.9000000000001,336.80966,-3.909661865234284,1.1744253124765043
0.82,4.5,2,1,2220.88,2,1.0,1.0,1.0,0,362,90,15,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1066.79,1107.0668,-40.276772460937536,3.775510874767999
6.58,4.86,0,0,2220.88,2,1.0,1.0,1.0,0,341,72,20,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,999.9999999999999,1494.6705,-494.6705322265626,49.46705322265627
59.45,4.88,122,1,1359.0,2,1.0,1.0,1.0,1,148,1,51,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1354.42,1281.3142,73.10579101562507,5.397571729273421
0.27,4.67,3,1,2043.0,4,1.0,1.0,4.0,0,364,6,14,0,1,0,0,0,0,1,0,0,0,0,0,0,4.0,2282.999999999999,1605.804,677.1960449218741,29.662551244935365
74.25,4.86,0,0,2220.88,2,1.0,1.0,1.0,0,94,65,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,2540.7700000000004,2160.72,380.05002929687544,14.958065047087118
15.07,4.74,98,1,1750.0,6,2.0,2.0,2.0,1,310,67,28,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,2392.7000000000007,2069.6497,323.0503417968757,13.501497964511874
26.03,4.95,19,1,1750.0,2,1.0,1.0,1.0,1,270,2,35,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2079.0000000000005,1417.4567,661.543334960938,31.820266231887338
2.47,5.0,4,1,1348.0,2,1.0,1.0,1.0,0,356,11,15,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,3850.0000000000023,2035.4099,1814.5900878906273,47.1322100750812
4.38,4.86,0,0,1688.29,2,1.0,1.0,1.0,0,349,12,30,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1256.6799999999996,1502.9851,-246.3051074218754,19.599667968128358
0.0,4.86,0,0,1688.29,4,2.0,2.0,2.0,0,365,56,37,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,2214.6699999999996,3026.5085,-811.8385449218754,36.65731440448805
13.42,4.86,0,0,1824.52,4,2.0,2.0,2.0,0,316,26,8,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,2738.570000000001,3887.6216,-1149.051582031249,41.95808695893289
50.96,4.0,1,1,1010.0,2,1.0,1.0,1.0,0,179,1,36,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2225.9999999999995,1038.1298,1187.870239257812,53.36344291364835
0.82,4.38,32,1,1615.25,3,1.0,1.0,3.0,0,362,118,54,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1848.9999999999995,1259.3772,589.6228027343745,31.888740007267423
75.34,4.91,23,1,2220.88,2,1.0,1.0,1.0,1,90,9,26,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1759.5000000000002,2011.4279,-251.92785644531227,14.318150408940737
0.27,4.86,0,0,2220.88,4,1.0,1.0,4.0,0,364,84,17,0,1,0,0,0,0,0,0,0,0,1,0,0,4.0,1322.4,1616.9382,-294.5382324218749,22.27300608150899
33.15,4.88,8,1,2220.88,4,2.0,1.0,2.0,0,244,2,16,0,1,0,0,0,0,0,0,0,1,0,0,0,8.0,1281.3200000000002,2495.3218,-1214.0017773437498,94.74618185494253
13.7,5.0,5,1,1688.29,6,3.0,3.0,1.0,0,315,14,31,0,1,0,0,0,0,0,0,0,1,0,0,0,18.0,3335.899999999999,4677.805,-1341.9051757812508,40.22618111397977
50.68,5.0,3,1,952.255,2,1.0,1.0,1.0,1,180,18,39,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,968.4900000000001,1015.7368,-47.24681640624988,4.878400025426165
0.27,4.86,0,0,1688.29,4,1.0,1.0,1.0,0,364,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,952.7100000000004,1475.3168,-522.6067724609371,54.85475878923669
36.44,4.63,8,1,1251.33,2,1.0,1.0,1.0,1,232,5,22,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,856.0000000000001,891.402,-35.401977539062386,4.135745039610091
83.56,4.8,60,1,2220.88,5,2.0,2.0,3.0,0,60,75,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3129.0,4027.9995,-898.99951171875,28.73120842821189
26.3,4.86,143,1,1052.0,2,1.0,1.5,2.0,1,269,5,14,0,1,0,0,0,0,1,0,0,0,0,0,0,2.0,771.0000000000002,810.7695,-39.76947021484352,5.158167343040663
6.85,5.0,2,1,1824.52,2,1.0,1.0,1.0,1,340,13,13,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1460.7200000000005,1546.1305,-85.41049316406202,5.847150252208636
0.0,4.86,0,0,1251.33,2,1.0,1.0,1.0,0,365,24,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2.0,949.4599999999999,1029.6971,-80.23714355468758,8.450818734300295
0.0,4.55,97,1,1348.0,4,1.0,1.0,4.0,0,365,12,12,0,1,0,0,0,0,0,0,0,1,0,0,0,4.0,1027.9999999999998,1083.4976,-55.49755859375023,5.398595193944576
0.82,5.0,19,1,1251.33,3,1.0,2.0,2.0,1,362,14,50,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,1478.0,1497.0531,-19.0531005859375,1.2891137067616711
3.84,4.86,0,0,1348.0,5,1.0,2.0,3.0,0,351,19,6,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,1359.9999999999998,1806.5217,-446.5217285156252,32.832480037913626
26.03,4.27,15,1,2220.88,4,2.0,2.0,2.0,0,270,111,47,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,3812.470000000003,3871.9146,-59.44455078124702,1.5592136011889135
26.03,5.0,1,1,1080.0,2,1.0,1.0,1.0,0,270,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1312.9999999999995,877.1595,435.8405151367183,33.19425096243096
76.99,4.86,7,1,1688.29,4,2.0,2.0,3.0,0,84,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3423.999999999998,3101.6367,322.3632812499982,9.414815457067709
80.55,4.89,19,1,2220.88,2,1.0,1.0,1.0,1,71,3,34,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1899.9999999999993,1847.3717,52.62829589843682,2.769910310444044
