listing_id,price,accommodates,bedrooms,room_Hotel room
1591105842368116373,19256.0,10,8.0,False
1252894293326907920,19247.5,4,3.0,False
779905984471824671,19243.08,4,2.0,False
1463066394428770736,19172.0,4,2.0,False
47483838,19171.78,14,7.0,False
