feature,VIF
const,78.82362138504664
number_of_reviews,1.01660098240528
review_scores_rating,1.0112357887975585
occupancy_rate_pct,1.0090143164857222
accommodates,2.4529841383622477
bedrooms,2.0596341814753893
bathrooms,1.6630764820166346
beds,2.3345509104476974
