,price,number_of_reviews,review_scores_rating,occupancy_rate_pct,accommodates,bedrooms,bathrooms,beds
price,1.0,0.02662884496493136,0.04279583780976908,0.055282402579492365,0.6456520699362897,0.5109972682141827,0.47346735576937166,0.4364355867644555
number_of_reviews,0.02662884496493136,1.0,0.07831392959560624,0.04350935066680409,0.08578124249393419,0.0250004040483555,0.025349661806878428,0.03958648721223333
review_scores_rating,0.04279583780976908,0.07831392959560624,1.0,0.06785554754426426,0.02708192674739471,0.010061878964151862,-0.0036352377883008967,0.018096471905884853
occupancy_rate_pct,0.055282402579492365,0.04350935066680409,0.06785554754426426,1.0,0.023566238477484236,0.00465207457927697,-0.009589070379706313,-0.016432172129153766
accommodates,0.6456520699362897,0.08578124249393419,0.02708192674739471,0.023566238477484236,1.0,0.634732515739277,0.5800264942399695,0.7077954705536765
bedrooms,0.5109972682141827,0.0250004040483555,0.010061878964151862,0.00465207457927697,0.634732515739277,1.0,0.5527649456944728,0.6486282333012613
bathrooms,0.47346735576937166,0.025349661806878428,-0.0036352377883008967,-0.009589070379706313,0.5800264942399695,0.5527649456944728,1.0,0.5162721075856633
beds,0.4364355867644555,0.03958648721223333,0.018096471905884853,-0.016432172129153766,0.7077954705536765,0.6486282333012613,0.5162721075856633,1.0
